timp,eroare
218.601194985,-0.021707761287689253
218.739721013,0.21878869533538814
218.868791533,0.8708768606185913
219.084820268,1.027304482460022
219.24989927,0.9996028661727905
219.363364668,0.9889450788497924
219.539405632,0.9699946165084838
219.697590899,0.9451732158660888
219.845150151,0.9206212282180786
220.016834249,0.9079689502716064
220.143083948,0.897538137435913
220.287058467,0.8868807077407836
220.391589038,0.8764184236526489
220.526626473,0.8659455299377441
220.650203423,0.8553595066070556
220.815152026,0.8447669267654419
220.956752454,0.8334346532821655
221.450439796,0.8347948312759399
221.659611184,0.8242103576660156
221.906574409,0.813517165184021
222.197351835,0.8029555797576904
222.363840012,0.7922163724899292
222.512184283,0.7819658041000366
222.663594457,0.7713748931884765
222.888189985,0.7609694719314575
223.091715357,0.7502327680587768
223.283482508,0.7396933555603027
223.449503326,0.7290395021438598
223.601567974,0.7184282064437866
224.097644261,0.7080680847167968
224.406690842,0.6976224899291992
224.847070068,0.6871423244476318
225.256638396,0.6766421318054199
225.57913358,0.6660203456878662
225.817903303,0.6554884433746337
226.115161538,0.6450500011444091
226.406101423,0.6343923330307006
226.57595098,0.6230984449386596
226.771938126,0.6125528335571289
226.901378923,0.6019770622253418
227.100674028,0.5908537626266479
227.365373422,0.5790791034698486
227.563324194,0.5684476613998413
227.735114195,0.5579096794128418
227.921090451,0.5472566604614257
228.04524023,0.5366771936416626
228.231575228,0.5261377811431884
228.370205186,0.5152533769607544
228.512454318,0.5046578168869018
228.639771913,0.4940468788146972
228.78928966,0.4835258245468139
228.927786598,0.47225506305694576
229.087094238,0.4616103887557983
229.240734513,0.45006175041198726
229.349287454,0.44015402793884273
229.516234111,0.4296936511993408
229.727405324,0.41858072280883785
229.841150588,0.40807850360870357
229.979961384,0.3975626945495605
230.114702905,0.3870360374450683
230.280044953,0.3765012741088867
230.54041472,0.3659164428710937
230.69457372,0.3554385423660278
230.827643289,0.3449853181838989
230.991503365,0.3345088481903076
231.121701151,0.3241177320480346
231.26824508,0.3135051250457763
231.393496416,0.302985143661499
231.519520425,0.292456579208374
231.654144094,0.2820255279541015
231.821841698,0.2714643001556396
232.006714463,0.2609164237976074
232.130996041,0.2504475831985473
232.279856135,0.2399600267410278
232.426673472,0.22956163883209224
232.586176362,0.2188379287719726
232.697529024,0.20821149349212642
232.834924111,0.1975757002830505
232.971266898,0.1868727326393127
